ticker,previousClose,regularMarketOpen,bid,ask,dayLow,dayHigh,52WeekLow,52WeekHigh,volume,averageVolume,marketCap,beta,trailingPE,forwardPE,dividendYield,exDividendDate,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,averageDailyVolume10Day,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualEps,epsTrailingTwelveMonths,epsForward,sharesOutstanding,floatShares,sharesShort,sharesShortPriorMonth,shortRatio,shortPercentOutstanding,shortPercentFloat,percentInsiders,percentInstitutions,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastCapGain,annualHoldingsTurnover,enterpriseValue,priceToSalesTrailing12Months,priceToBook,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,beta,enterpriseValue,priceHint,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,financialCurrency
AAOI,11.59,11.69,10.45,10.5,10.3501,11.82,,,2239866.0,1910117.0,408143872.0,2.119,,13.448718,,,,,,,,,,11.8987,13.71485,,,1626430.0,,,,,,,2.26,24.75,,,,,,,38907900.0,36912345.0,9882112.0,9210139.0,4.48,,,,,0.78,-2.17,,,2.515,-17.965,3.5021458,0.23485482,,,,516228224.0,1.988143,2.0755837,1711843200.0,-62926000.0,-1.79,0.78,2.119,516228224.0,2.0,,,,,,,USD
AAON,74.93,74.6,74.98,75.07,73.5432,75.2,,,855628.0,799069.0,6169807872.0,0.876,34.906975,26.519436,0.0043,1717718400.0,0.1488,0.32,0.0042706523,0.58,0.32,,0.0043,83.6126,71.41994,0.32,0.0042706523,598040.0,,,,,,,52.24,96.34,,,,,,,82209296.0,67799638.0,2849372.0,2782231.0,2.11,,,,,2.83,2.86,3:2,1692230400.0,5.329,21.504,0.23491669,0.23485482,0.08,,,6206947328.0,5.2975,7.852883,1640908800.0,179824992.0,2.15,2.83,0.876,6206947328.0,2.0,0.32,0.0042706523,0.58,0.32,,0.0043,USD
AAPB,21.32,21.36,21.46,21.52,20.9648,21.52,,,103122.0,186363.0,,,,,,,,,,,,,,18.5436,22.265535,,,89250.0,,,,,,,15.91,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
AAPD,20.355,20.33,20.22,20.29,20.25,20.5165,,,129395.0,222584.0,,,,,,,,,,,,,,22.0127,21.55679,,,113100.0,,,,,,,19.65,23.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
AAPL,191.29,191.44,181.78,201.14,189.91,192.57,,,74776921.0,62563592.0,2947980722176.0,1.264,29.945482,26.590595,0.0052,1715299200.0,0.14930001,0.96,0.0050185584,0.71,1.0,,0.0052,177.1718,181.23856,0.96,0.0050185584,48031370.0,,,,,,,164.08,199.62,,,,,,,15334099968.0,15308320742.0,99287450.0,101912593.0,1.53,,,,,7.23,2.76,4:1,1598832000.0,7.823,23.03,0.07055354,0.23485482,0.25,,,2985417244672.0,7.7248507,39.745712,1711756800.0,100389003264.0,6.42,7.23,1.264,2985417244672.0,2.0,0.96,0.0050185584,0.71,1.0,,0.0052,USD
AAPU,27.47,27.47,27.71,27.75,27.04,27.7799,,,386417.0,449592.0,,,30.476295,,,,,,,,,,,23.8922,25.168875,,,329390.0,,,,,,,20.48,29.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
AAXJ,70.87,70.09,66.52,70.16,69.54,70.15,,,686742.0,551925.0,,,13.222383,,,,,,,,,,,69.221,65.89755,,,568780.0,,,,,,,60.92,73.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
ABAT,1.35,1.38,1.37,1.4,1.36,1.39,,,218438.0,576263.0,80865376.0,,,-9.857142,,,,,,,,,,1.503,4.20209,,,383450.0,,,,,,,1.21,13.78,,,,,,,58598100.0,53285530.0,4754655.0,4533387.0,10.68,,,,,-0.14,,1:15,1694390400.0,,-2.485,-0.8835443,0.23485482,,,,80673816.0,,1.0840534,1711843200.0,-36163736.0,-0.75,-0.14,,80673816.0,4.0,,,,,,,USD
ABCB,47.66,47.82,48.23,61.12,47.252,51.179,,,238751.0,307223.0,3451909376.0,1.048,12.182927,10.214725,0.012,1711497600.0,0.1463,0.6,0.012589173,1.45,0.6,,0.012,47.8586,45.08415,0.6,0.012589173,218890.0,,,,,,,32.05,53.99,,,,,,,69107296.0,64987125.0,1089847.0,1071382.0,4.03,,,,,4.89,1.3,211:210,1277683200.0,3.093,,0.4892665,0.23485482,0.15,,,2985411840.0,3.5759704,0.9869981,1711843200.0,282996000.0,4.1,4.89,1.048,2985411840.0,2.0,0.6,0.012589173,1.45,0.6,,0.012,USD
ABCL,4.04,4.04,3.91,3.94,3.9,4.2,,,1074439.0,1284447.0,1152691712.0,0.417,,-6.322581,,,,,,,,,,4.0756,4.744525,,,1439030.0,,,,,,,3.58,8.05,,,,,,,294054016.0,198595490.0,19748393.0,23091848.0,14.25,,,,,-0.62,-0.71,,,14.762,-2.596,-0.4260615,0.23485482,,,,528280064.0,32.20979,1.018711,1711843200.0,-146898000.0,-0.51,-0.62,0.417,528280064.0,4.0,,,,,,,USD
ABCS,26.2266,26.3146,,,26.3,26.5603,,,2164.0,2603.0,,,,,,,,,,,,,,26.35996,25.823696,,,2370.0,,,,,,,24.37,27.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
ABEO,4.21,4.22,4.36,4.41,4.22,4.465,,,443039.0,714531.0,180394688.0,1.583,,-3.0416665,,,,,,,,,,5.643,5.1431,,,511710.0,,,,,,,2.83,9.01,,,,,,,41186000.0,20414788.0,3019896.0,2061402.0,2.34,,,,,-1.44,,1:25,1656979200.0,23.285,-1.688,0.08684862,0.23485482,3706.25,,,81497032.0,51.54134,,1711843200.0,-76659000.0,-3.15,-1.44,1.583,81497032.0,4.0,,,,,,,USD
ABIO,3.47,3.48,3.67,3.76,3.48,3.75,,,73568.0,1451692.0,53676272.0,0.884,,-0.42045453,,,,,,,,,,3.099,2.1439,,,88990.0,,,,,,,1.56,4.49,,,,,,,14507100.0,4926626.0,4096113.0,5662428.0,24.99,,,,,-8.8,,1:18,1554336000.0,,-2.237,0.77884614,0.23485482,,,,17821430.0,,1.5276631,1711843200.0,-6002000.0,-0.42,-8.8,0.884,17821430.0,4.0,,,,,,,USD
ABL,10.05,10.03,9.06,,10.03,11.89,,,28193.0,28361.0,729788160.0,0.191,Infinity,,,,,,,,,,,11.7937,9.65075,,,32340.0,,,,,,,5.47,13.25,,,,,,,63960400.0,1279349.0,322920.0,318463.0,14.01,,,,,,,,,10.822,32.751,0.108843565,0.23485482,,,,839988992.0,9.402639,4.3533,1711843200.0,82378.0,,,0.191,839988992.0,2.0,,,,,,,USD
ABLLL,25.49,25.45,,,25.45,25.54,,,1571.0,4649.0,,,,,,,,,,,,,,25.37668,25.283516,,,4390.0,,,,,,,24.26,27.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
ABLLW,0.2961,0.32,,,0.32,0.3655,,,127031.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.3655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
ABLV,1.04,1.1117,,,0.8582,1.1999,,,9178.0,68380.0,46903808.0,,4.666667,,,,,,,,,,,1.7895,2.522818,,,23440.0,,,,,,,0.67,4.15,,,,,,,17007000.0,10641319.0,37982.0,91338.0,1.1,,,,,,,,,0.334,3.67,-0.68,0.23485482,,,,49703412.0,0.31479102,4.1328416,1703980800.0,9441345.0,0.24,,,49703412.0,4.0,,,,,,,USD
ABLVW,0.0599,0.038,,,0.038,0.038,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.038,,,,,,,,10641319.0,,,,,,,,,,,,,,,0.23485482,,,,,,0.1402214,,9441345.0,,,,,4.0,,,,,,,USD
ABNB,145.52,145.84,144.86,144.93,142.572,146.3628,,,3740561.0,4070857.0,92007940096.0,1.246,19.427612,28.30664,,,,,,,,,,156.2588,142.47238,,,3876530.0,,,,,,,112.315,170.1,,,,,,,441500000.0,422685360.0,13379727.0,16673190.0,3.04,,,,,5.12,1.73,,,8.125,50.184,0.25274444,0.23485482,,,,83204915200.0,8.984273,11.673781,1711843200.0,4938999808.0,7.46,5.12,1.246,83204915200.0,2.0,,,,,,,USD
ABOS,2.98,3.0,2.92,2.98,2.9,3.06,,,369664.0,274150.0,176634608.0,0.188,,-2.0416665,,,,,,,,,,3.5652,3.745325,,,226510.0,,,,,,,1.81,11.31,,,,,,,60079800.0,32280264.0,926852.0,1239322.0,4.05,,,,,-1.44,12.85,,,,-0.151,-0.40606058,0.23485482,,,,9219381.0,,0.637744,1703980800.0,-52371000.0,-1.05,-1.44,0.188,9219381.0,4.0,,,,,,,USD
ABSI,4.25,4.21,4.15,4.25,4.12,4.38,,,1074914.0,1180500.0,476083648.0,2.394,,-6.3787875,,,,,,,,,,5.0295,3.312725,,,1181300.0,,,,,,,1.111,6.72,,,,,,,113084000.0,84078839.0,7723986.0,8628052.0,8.88,,,,,-0.66,-0.23,,,61.489,-4.173,1.3388889,0.23485482,,,,328783232.0,89.03753,1.9811765,1711843200.0,-109186000.0,-1.16,-0.66,2.394,328783232.0,4.0,,,,,,,USD
ABTS,0.6877,0.696,,,0.6562,0.696,,,7454.0,229747.0,23466102.0,3.006,,,,,,,,,,,,0.7277,0.92294,,,27400.0,,,,,,,0.55,1.8,,,,,,,35554700.0,25868161.0,252021.0,268417.0,6.45,,,,,,,1:5,1555891200.0,13.432,-95.3,-0.30010605,0.23485482,,,,22586938.0,13.955184,,1703980800.0,-12585250.0,,,3.006,22586938.0,4.0,,,,,,,USD
ABUS,3.32,3.32,3.34,3.37,3.31,3.385,,,825007.0,1175271.0,634089088.0,2.045,,-8.615385,,,,,,,,,,2.8806,2.37585,,,1155810.0,,,,,,,1.69,3.44,,,,,,,188716992.0,135489664.0,5336963.0,5170836.0,6.7,,,,,-0.39,,1:5,1288828800.0,39.499,-6.522,0.29230773,0.23485482,,,,512929504.0,48.828667,5.283019,1711843200.0,-74385000.0,-0.44,-0.39,2.045,512929504.0,4.0,,,,,,,USD
ABVC,0.858,0.85,0.782,0.8069,0.7823,0.85,,,216807.0,1157412.0,8617414.0,0.753,,-1.8047727,,,,,,,,,,1.13722,1.223745,,,189700.0,,,,,,,0.674,6.98,,,,,,,10851800.0,7682455.0,637617.0,1316502.0,0.41,,,,,-0.44,,1:10,1690243200.0,87.416,-1.627,-0.8704731,0.23485482,,,,13324854.0,56.53358,0.749151,1703980800.0,-10515656.0,-2.28,-0.44,0.753,13324854.0,4.0,,,,,,,USD
ABVX,13.34,13.35,,,13.08,14.0,,,21033.0,61804.0,880847808.0,1.436,,-4.516129,,,,,,,,,,14.6057,12.523753,,,66880.0,,,,,,,7.995,17.02,,,,,,,62917700.0,29873306.0,64846.0,113774.0,1.67,,,,,-3.1,,,,154.534,-5.456,0.68674695,0.23485482,,,,694320256.0,196.04892,4.494382,1703980800.0,-147740000.0,-3.7,-3.1,1.436,694320256.0,2.0,,,,,,,EUR
ACAB,10.8,,,,11.08,11.08,,,1.0,922.0,90494680.0,-0.006,73.86666,,,,,,,,,,,10.88868,10.710355,,,190.0,,,,,,,10.35,11.75,,,,,,,8167390.0,667358.0,34.0,112.0,0.02,,,,,,,,,,,0.06666672,0.23485482,,,,91718456.0,,,1703980800.0,2821459.0,0.15,,-0.006,91718456.0,2.0,,,,,,,USD
ACABU,11.1,11.0,,,11.1,11.1,,,312.0,244.0,,-0.006,,,,,,,,,,,,11.0818,10.71105,,,850.0,,,,,,,10.36,12.19,,,,,,,,667358.0,3.0,3.0,0.03,,,,,,,,,,,0.07142854,0.23485482,,,,92208504.0,,,1703980800.0,2821459.0,,,-0.006,92208504.0,2.0,,,,,,,USD
ACABW,0.11,0.071,,,0.071,0.071,,,838.0,,,-0.006,,,,,,,,,,,,,,,,,,,,,,,0.071,0.071,,,,,,,,667358.0,,,,,,,,,,,,,,,0.23485482,,,,,,23.666668,,2821459.0,,,-0.006,,4.0,,,,,,,USD
ACAC,11.32,,,,11.29,11.29,,,2.0,5619.0,44839704.0,,,,,,,,,,,,,11.2356,11.076485,,,620.0,,,,,,,9.88,11.49,,,,,,,1815380.0,3255059.0,839.0,950.0,0.14,,,,,,,,,,,0.048237443,0.23485482,,,,62471036.0,,,1703980800.0,886366.0,-0.46,,,62471036.0,2.0,,,,,,,USD
ACACU,11.77,,,,11.77,11.77,,,3.0,151.0,,,,,,,,,,,,,,11.5194,11.228657,,,11.0,,,,,,,10.68,12.22,,,,,,,,3255059.0,2483.0,47.0,5.88,,,,,,,,,,,0.07981646,0.23485482,,,,64419104.0,,,1703980800.0,886366.0,,,,64419104.0,2.0,,,,,,,USD
ACACW,0.07,0.07,,,0.07,0.07,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
ACAD,15.0,15.08,15.06,15.1,15.0,15.2,,,1282283.0,1836587.0,2494836992.0,0.416,Infinity,13.362832,,,,,,,,,,16.6904,22.91315,,,1616260.0,,,,,,,14.6,33.99,,,,,,,165220992.0,107786800.0,11978676.0,11164319.0,6.59,,,,,1.13,-0.07,,,2.561,343.377,-0.3700459,0.23485482,,,,2083957376.0,3.065641,5.3679347,1711843200.0,-1710000.0,,1.13,0.416,2083957376.0,2.0,,,,,,,USD
ACB,6.15,6.26,6.16,6.2,6.0215,6.26,,,1162571.0,7934301.0,337598880.0,2.653,,-19.967743,,,,,,,,,,6.3989,5.165925,,,2203390.0,,,,,,,2.84,11.5,,,,,,,54539400.0,54375212.0,5268933.0,8141936.0,0.7,,,,,-0.31,,1:10,1708387200.0,1.211,-10.026,0.20428014,0.23485482,,,,334127744.0,1.223696,0.5704018,1703980800.0,410717728.0,-57.73,-0.31,2.653,334127744.0,2.0,,,,,,,CAD
ACCD,7.16,7.22,7.05,7.1,7.01,7.31,,,539773.0,643063.0,554766848.0,2.152,,-6.5555553,,,,,,,,,,8.3606,9.950925,,,536160.0,,,,,,,6.33,15.36,,,,,,,78356896.0,70623081.0,3444616.0,3144531.0,4.36,,,,,-1.08,6.41,,,1.35,-7.857,-0.44773793,0.23485482,,,,559381888.0,1.3390721,1.2407992,1709164800.0,-99805000.0,-1.33,-1.08,2.152,559381888.0,2.0,,,,,,,USD
ACDC,9.3,9.48,9.57,9.66,9.38,9.75,,,819085.0,1108653.0,1538584320.0,0.765,,6.4563756,,,,,,,,,,8.3692,8.69265,,,1243580.0,,,,,,,6.46,14.32,,,,,,,159936000.0,94774904.0,4666103.0,5307594.0,3.91,,,,,1.49,-1.25,,,1.199,4.868,-0.17918086,0.23485482,,,,2821584896.0,0.65360427,1.2651236,1711843200.0,-128900000.0,-1.22,1.49,0.765,2821584896.0,2.0,,,,,,,USD
ACET,1.48,1.5,1.44,1.49,1.42,1.526,,,444760.0,1259082.0,119151584.0,1.762,,-0.86826354,,,,,,,,,,1.8562,1.8879,,,557040.0,,,,,,,1.1,5.81,,,,,,,82173504.0,45275957.0,6939179.0,7853977.0,4.27,,,,,-1.67,-0.03,1:7,1600214400.0,,0.877,-0.7243346,0.23485482,,,,-108401424.0,,0.46031746,1711843200.0,-139792992.0,-2.94,-1.67,1.762,-108401424.0,4.0,,,,,,,USD
ACGL,101.41,101.44,102.63,102.72,101.345,103.48,,,10108232.0,1811482.0,38536949760.0,0.566,8.100237,11.583522,,,,,,,,,,95.275,85.07915,,,2523210.0,,,,,,,69.49,103.79,,,,,,,375494016.0,358861259.0,4618764.0,4248938.0,2.97,,,,,8.86,0.6,3:1,1529539200.0,2.691,9.549,0.43941092,0.23485482,,,,38769504256.0,2.6748767,2.0707395,1711843200.0,4808000000.0,12.67,8.86,0.566,38769504256.0,2.0,,,,,,,USD
ACGLN,19.49,19.59,14.0,25.17,19.54,19.75,,,28977.0,28376.0,,0.566,4.1654234,,0.0581,1718323200.0,,,,,1.14,,0.0581,19.8353,19.32268,,,29200.0,,,,,,,16.49,21.213,,,,,,,,358861259.0,11650.0,40742.0,0.38,,,,,,,,,0.534,1.896,-0.011883676,0.23485482,0.284,,,7696366592.0,,0.39425367,1711843200.0,4808000000.0,4.691,,0.566,7696366592.0,2.0,,,,1.14,,0.0581,USD
ACGLO,22.31,22.45,,,22.2301,22.5531,,,13460.0,15949.0,13072856064.0,0.566,4.7793646,,0.0608,1718323200.0,,,,5.63,1.36,,0.0608,22.90436,22.445086,,,15950.0,,,,,,,19.2,24.5,,,,,,,402939008.0,358861259.0,12932.0,9809.0,0.83,,,,,,,,,0.609,2.161,-0.045957446,0.23485482,0.341,,,8773399552.0,0.90739614,0.4523627,1711843200.0,4808000000.0,4.691,,0.566,8773399552.0,2.0,,,5.63,1.36,,0.0608,USD
ACHC,67.34,67.61,68.86,68.95,66.33,68.92,,,1490925.0,846823.0,6391242240.0,1.313,,17.573978,,,,,,,,,,71.2822,75.46855,,,1115150.0,,,,,,,62.04,87.77,,,,,,,92774600.0,90386586.0,3272249.0,3520696.0,3.33,,,,,3.92,1.88,1:4,1320105600.0,2.819,12.77,0.00029039383,0.23485482,,,,8434993664.0,2.1357377,2.2011693,1711843200.0,-11299000.0,-0.13,3.92,1.313,8434993664.0,2.0,,,,,,,USD
ACHL,0.93,0.9,0.8984,0.9405,0.9,0.94,,,10115.0,258014.0,39287956.0,1.245,,-0.8363636,,,,,,,,,,0.9221,0.93625,,,117760.0,,,,,,,0.74,1.76,,,,,,,42704300.0,24934193.0,13815.0,37826.0,0.07,,,,,-1.1,-0.19,,,,1.063,-0.07999998,0.23485482,,,,-70309128.0,,0.29003784,1711843200.0,-64433000.0,-1.6,-1.1,1.245,-70309128.0,4.0,,,,,,,USD
ACHV,5.3,5.32,5.2,5.26,5.12,5.35,,,166254.0,123053.0,179261584.0,,,-5.612903,,,,,,,,,,4.7142,4.5225,,,131980.0,,,,,,,3.03,6.87,,,,,,,34341300.0,32528426.0,750539.0,713285.0,7.05,,,,,-0.93,-0.33,1:20,1596153600.0,,-5.324,-0.19069767,0.23485482,,,,130057600.0,,3.6149583,1711843200.0,-27317000.0,-1.26,-0.93,,130057600.0,2.0,,,,,,,USD
ACIC,12.0,12.0,11.75,11.82,11.78,12.1,,,208038.0,313574.0,564376320.0,-0.173,7.239264,6.7428575,,1646697600.0,,,,5.5,,,,11.2402,9.70545,,,301780.0,,,,,,,3.84,14.38,,,,,,,47828500.0,21445988.0,647874.0,807381.0,2.94,,,,,1.75,0.4,,,1.86,4.777,1.3091977,0.23485482,0.06,,,501007200.0,2.094728,1.5911543,1632960000.0,75430000.0,1.63,1.75,-0.173,501007200.0,2.0,,,5.5,,,,USD
ACIU,3.97,4.3,4.62,4.67,4.2298,4.78,,,900655.0,822090.0,459879872.0,1.048,,14.531251,,,,,,,,,,2.8738,3.232,,,467030.0,,,,,,,1.9,5.14,,,,,,,98898896.0,41922779.0,1614007.0,509355.0,0.91,,,,,0.32,,,,24.367,-6.618,0.9620253,0.23485482,,,,360650432.0,31.070866,3.1936815,1711843200.0,-54582000.0,-0.67,0.32,1.048,360650432.0,4.0,,,,,,,CHF
ACIW,34.9,35.13,25.85,45.08,35.11,36.08,,,728710.0,531585.0,3796894208.0,1.206,26.674072,19.895027,,,,,,,,,,34.0204,28.5602,,,498780.0,,,,,,,19.56,37.85,,,,,,,105440000.0,104574131.0,2658832.0,2422323.0,4.31,,,,,1.81,1.95,3:1,1405036800.0,3.167,14.158,0.5697472,0.23485482,,,,4684433920.0,2.5673392,3.0439558,1711843200.0,146066000.0,1.35,1.81,1.206,4684433920.0,2.0,,,,,,,USD
ACLS,113.68,113.97,112.42,112.82,108.36,115.1,,,467814.0,511549.0,3659580928.0,1.642,14.859973,13.887653,,,,,,,,,,108.1562,130.9577,,,374000.0,,,,,,,93.77,201.0,,,,,,,32532500.0,32130396.0,1907274.0,2020171.0,3.62,,,,,8.1,2.81,1:4,1467331200.0,2.838,11.478,-0.30915678,0.23485482,,,,3203828736.0,3.241562,4.0673246,1711843200.0,250160992.0,7.57,8.1,1.642,3203828736.0,2.0,,,,,,,USD
ACLX,52.24,53.33,51.88,52.14,50.92,53.33,,,474700.0,469077.0,2782135296.0,0.242,,-24.880384,,,,,,,,,,56.4216,51.17835,,,458210.0,,,,,,,30.74,75.1,,,,,,,53502600.0,34687323.0,3873377.0,4026326.0,7.88,,,,,-2.09,-0.47,,,17.435,-31.533,0.26829267,0.23485482,,,,2295576832.0,21.13073,5.5799975,1711843200.0,-50544000.0,-1.03,-2.09,0.242,2295576832.0,2.0,,,,,,,USD
ACMR,22.35,22.41,21.55,21.62,21.12,22.4412,,,1127655.0,1388920.0,1339385728.0,1.412,16.48855,11.550802,,,,,,,,,,26.7559,20.925,,,969620.0,,,,,,,9.36,34.4,,,,,,,56986800.0,47000649.0,4056699.0,4062696.0,3.11,,,,,1.87,0.3,3:1,1648080000.0,2.119,11.126,1.2199383,0.23485482,,,,1346820480.0,2.1070855,1.682243,1711843200.0,87637000.0,1.31,1.87,1.412,1346820480.0,2.0,,,,,,,USD
ACNB,31.65,31.1,22.26,40.21,31.1,31.86,,,12039.0,12026.0,269594528.0,0.631,9.150724,9.312684,0.0405,1717113600.0,0.3362,1.16,0.03665087,3.35,1.28,,0.0405,33.5312,36.25735,1.16,0.03665087,15590.0,,,,,,,28.97,48.55,,,,,,,8539580.0,8161357.0,64819.0,62915.0,5.6,,,,,3.39,,105:100,1196208000.0,4.708,,0.077474356,0.23485482,0.32,,,491511392.0,2.5821748,0.96311665,1711843200.0,29433000.0,3.45,3.39,0.631,491511392.0,2.0,1.16,0.03665087,3.35,1.28,,0.0405,USD
